Date,Block,Primary Type,Location Description,District
08/26/2019 08:59:00 PM,N SHERIDAN RD,OTHER OFFENSE,RESIDENCE,Town Hall District
08/26/2019 08:45:00 PM,S CLYDE AVE,THEFT,STREET,South Chicago District
08/26/2019 08:20:00 PM,W CARROLL AVE,NARCOTICS,ALLEY,Near West District
08/26/2019 08:00:00 PM,W LOGAN BLVD,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),Shakespeare District
08/26/2019 08:00:00 PM,S OGLESBY AVE,THEFT,STREET,South Chicago District
08/26/2019 07:45:00 PM,E 104TH ST,BATTERY,CHA APARTMENT,Calumet District
08/26/2019 07:30:00 PM,S CHAPPEL AVE,ASSAULT,STREET,South Chicago District
08/26/2019 07:26:00 PM,W PALMER ST,OTHER OFFENSE,RESIDENCE,Shakespeare District
08/26/2019 07:04:00 PM,N CENTRAL AVE,ASSAULT,GAS STATION,Grand Central District
08/26/2019 07:00:00 PM,S COLFAX AVE,OTHER OFFENSE,RESIDENCE,South Chicago District
08/26/2019 07:00:00 PM,S EBERHART AVE,THEFT,STREET,Grand Crossing District
08/26/2019 06:44:00 PM,W 69TH ST,CRIMINAL DAMAGE,CTA STATION,Englewood District
08/26/2019 06:35:00 PM,W ARTHINGTON ST,THEFT,APARTMENT,Harrison District
08/26/2019 06:30:00 PM,E GRAND AVE,THEFT,RESTAURANT,Near North District
08/26/2019 06:27:00 PM,S MORGAN ST,ASSAULT,RESIDENCE,Gresham District
08/26/2019 06:07:00 PM,N SPAULDING AVE,ASSAULT,STREET,Shakespeare District
08/26/2019 06:00:00 PM,S MARYLAND AVE,THEFT,APARTMENT,Gresham District
08/26/2019 06:00:00 PM,N KEELER AVE,BURGLARY,APARTMENT,Grand Central District
08/26/2019 05:50:00 PM,N STATE ST,THEFT,OTHER,Central District
08/26/2019 05:41:00 PM,W ADAMS ST,NARCOTICS,APARTMENT,Harrison District
08/26/2019 05:30:00 PM,W MADISON ST,BATTERY,SIDEWALK,Near West District
08/26/2019 05:27:00 PM,W NORTH AVE,NARCOTICS,SMALL RETAIL STORE,Near North District
08/26/2019 05:15:00 PM,N COMMONS DR,BATTERY,OTHER,Jefferson Park District
08/26/2019 05:00:00 PM,S PAXTON AVE,THEFT,STREET,Grand Crossing District
08/26/2019 05:00:00 PM,S ELLIS AVE,THEFT,GOVERNMENT BUILDING/PROPERTY,Calumet District
08/26/2019 05:00:00 PM,S SPAULDING AVE,CRIMINAL DAMAGE,STREET,Ogden District
08/26/2019 04:55:00 PM,W LAKE ST,CRIMINAL TRESPASS,RESTAURANT,Central District
