Date,Block,Primary Type,Location Description,District
04-08-2019 07:35,W CHECKPOINT 9 ST,OTHER OFFENSE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Jefferson Park District
04-08-2019 07:15,N GLENWOOD AVE,BURGLARY,APARTMENT,Lincoln District
04-08-2019 07:00,S LOWE AVE,BATTERY,RESIDENCE,Calumet District
04-08-2019 06:20,S WACKER DR,THEFT,SIDEWALK,Central District
04-08-2019 06:00,W TAYLOR ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),Harrison District
04-08-2019 05:00,N ORLEANS ST,CRIMINAL DAMAGE,STREET,Near North District
04-08-2019 04:30,W RANDOLPH ST,THEFT,VEHICLE NON-COMMERCIAL,Central District
04-08-2019 04:00,N MONTICELLO AVE,CRIMINAL DAMAGE,APARTMENT,Albany Park District
04-08-2019 03:46,S WOOD ST,BATTERY,APARTMENT,Deering District
04-08-2019 03:02,N SEDGWICK ST,BATTERY,RESIDENCE,Near North District
04-08-2019 02:33,S ST LAWRENCE AVE,BATTERY,STREET,Gresham District
04-08-2019 02:09,E 69TH ST,BATTERY,STREET,Grand Crossing District
04-08-2019 01:36,E 74TH PL,BATTERY,APARTMENT,Grand Crossing District
04-08-2019 01:17,N MOBILE AVE,BATTERY,STREET,Jefferson Park District
04-08-2019 00:45,N COLUMBUS DR,BATTERY,HOTEL/MOTEL,Central District
04-08-2019 00:30,W WASHINGTON BLVD,ASSAULT,STREET,Near West District
04-08-2019 00:14,W 104TH ST,BATTERY,SIDEWALK,Morgan Park District
04-08-2019 00:01,S LANGLEY AVE,MOTOR VEHICLE THEFT,STREET,Gresham District
04-08-2019 00:00,S EGGLESTON AVE,CRIMINAL TRESPASS,VEHICLE NON-COMMERCIAL,Gresham District
04-07-2019 23:50,E 68TH ST,BATTERY,RESIDENCE,Grand Crossing District
04-07-2019 23:32,N RIDGEWAY AVE,CRIMINAL DAMAGE,RESIDENCE,Grand Central District
04-07-2019 23:30,S SOUTH CHICAGO AVE,MOTOR VEHICLE THEFT,STREET,South Chicago District
04-07-2019 23:15,E 95TH ST,OTHER OFFENSE,APARTMENT,South Chicago District
04-07-2019 23:01,E 68TH ST,OTHER OFFENSE,STREET,Grand Crossing District
04-07-2019 23:00,W FRANKLIN BLVD,BATTERY,APARTMENT,Harrison District
04-07-2019 23:00,N DRAKE AVE,MOTOR VEHICLE THEFT,STREET,Harrison District
04-07-2019 22:30,S SAWYER AVE,ASSAULT,STREET,Chicago Lawn District
04-07-2019 22:30,W ADAMS ST,BATTERY,RESIDENCE,Harrison District
04-07-2019 22:15,S WENTWORTH AVE,BURGLARY,OTHER,Deering District
04-07-2019 22:09,S SANGAMON ST,WEAPONS VIOLATION,SIDEWALK,Gresham District
04-07-2019 22:00,N LONG AVE,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,Austin District
04-07-2019 22:00,E 103RD ST,ROBBERY,CTA BUS STOP,South Chicago District
04-07-2019 21:45,S WHIPPLE ST,THEFT,SIDEWALK,Chicago Lawn District
04-07-2019 21:30,S STONY ISLAND AVE,CRIMINAL DAMAGE,SMALL RETAIL STORE,Grand Crossing District
04-07-2019 21:10,N CENTRAL AVE,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME,Austin District
04-07-2019 21:00,W 81ST PL,CRIMINAL DAMAGE,STREET,Gresham District
04-07-2019 21:00,E 67TH ST,CRIMINAL DAMAGE,STREET,Grand Crossing District
04-07-2019 20:33,S YATES AVE,NARCOTICS,SIDEWALK,South Chicago District
04-07-2019 20:30,S PULASKI RD,ASSAULT,CTA PLATFORM,Harrison District
04-07-2019 20:17,N SEDGWICK ST,WEAPONS VIOLATION,STREET,Near North District
04-07-2019 20:10,E 75TH ST,CRIMINAL TRESPASS,GROCERY FOOD STORE,South Chicago District
04-07-2019 20:00,N MAJOR AVE,MOTOR VEHICLE THEFT,STREET,Grand Central District
04-07-2019 19:55,N BROADWAY,THEFT,DEPARTMENT STORE,Town Hall District
04-07-2019 19:32,W 44TH ST,OTHER OFFENSE,STREET,Deering District
04-07-2019 19:25,W ARGYLE ST,OTHER OFFENSE,SMALL RETAIL STORE,Lincoln District
04-07-2019 19:10,N WESTERN AVE,BATTERY,OTHER,Shakespeare District
04-07-2019 19:00,S CALUMET AVE,MOTOR VEHICLE THEFT,STREET,Wentworth District
04-07-2019 19:00,N HAMLIN AVE,NARCOTICS,STREET,Harrison District
04-07-2019 18:57,N RACINE AVE,ASSAULT,STREET,Town Hall District
04-07-2019 18:44,S DRAKE AVE,NARCOTICS,STREET,Ogden District
04-07-2019 18:35,S DREXEL AVE,BATTERY,PARK PROPERTY,Calumet District
04-07-2019 18:23,S TRUMBULL AVE,ASSAULT,APARTMENT,Ogden District
04-07-2019 18:07,S STATE ST,ASSAULT,GAS STATION,Gresham District
04-07-2019 18:00,E OHIO ST,THEFT,RESTAURANT,Near North District
04-07-2019 18:00,E 75TH ST,BATTERY,PARKING LOT/GARAGE(NON.RESID.),Grand Crossing District
04-07-2019 17:55,N STATE ST,BATTERY,CTA STATION,Near North District
04-07-2019 17:45,N STATE PKWY,DECEPTIVE PRACTICE,,Near North District
04-07-2019 17:30,S LAFAYETTE AVE,BATTERY,STREET,Calumet District
04-07-2019 17:20,W DOUGLAS BLVD,BATTERY,STREET,Ogden District
04-07-2019 17:08,N MEADE AVE,BATTERY,APARTMENT,Jefferson Park District
04-07-2019 17:00,N RAVENSWOOD AVE,DECEPTIVE PRACTICE,APARTMENT,Rogers Park District
04-07-2019 17:00,W WILCOX ST,WEAPONS VIOLATION,APARTMENT,Harrison District
04-07-2019 16:50,S STATE ST,DECEPTIVE PRACTICE,CTA STATION,Central District
04-07-2019 16:45,S STATE ST,DECEPTIVE PRACTICE,CTA STATION,Central District
04-07-2019 16:20,S EXCHANGE AVE,ASSAULT,RESIDENCE,South Chicago District
04-07-2019 16:03,S HARVARD AVE,CRIMINAL DAMAGE,STREET,Gresham District
04-07-2019 16:00,W SUPERIOR ST,THEFT,VEHICLE NON-COMMERCIAL,Near North District
04-07-2019 15:43,W VAN BUREN ST,NARCOTICS,SIDEWALK,Harrison District
04-07-2019 15:30,W JACKSON BLVD,CRIMINAL DAMAGE,STREET,Central District
04-07-2019 15:17,E CHICAGO AVE,BATTERY,RESTAURANT,Near North District
04-07-2019 15:05,S SACRAMENTO AVE,BATTERY,PARK PROPERTY,Ogden District
04-07-2019 15:00,N WINTHROP AVE,ASSAULT,RESIDENCE,Lincoln District
04-07-2019 14:59,W MONTROSE AVE,THEFT,SMALL RETAIL STORE,Albany Park District
04-07-2019 14:30,S UNIVERSITY AVE,MOTOR VEHICLE THEFT,STREET,Wentworth District
04-07-2019 14:25,S LAKE PARK AVE,ASSAULT,DEPARTMENT STORE,Wentworth District
04-07-2019 14:00,W OHARE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),Jefferson Park District
04-07-2019 14:00,N JANSSEN AVE,CRIMINAL DAMAGE,STREET,Town Hall District
04-07-2019 13:45,S INDIANA AVE,THEFT,RESIDENCE-GARAGE,Central District
04-07-2019 13:30,W DIVERSEY AVE,BATTERY,APARTMENT,Grand Central District
04-07-2019 13:00,N DAMEN AVE,OTHER OFFENSE,RESTAURANT,Near West District
04-07-2019 12:57,S MARSHFIELD AVE,NARCOTICS,ALLEY,Englewood District
04-07-2019 12:48,W 79TH ST,INTERFERENCE WITH PUBLIC OFFICER,SIDEWALK,Gresham District
03/13/2019 06:45:00 PM,S UNION AVE,ASSAULT,RESIDENCE,Morgan Park District
03/13/2019 06:35:00 PM,S MARSHFIELD AVE,WEAPONS VIOLATION,STREET,Gresham District
03/13/2019 06:20:00 PM,E 75TH ST,ASSAULT,GROCERY FOOD STORE,South Chicago District
03/13/2019 06:10:00 PM,E 91ST ST,BATTERY,VEHICLE NON-COMMERCIAL,South Chicago District
03/13/2019 06:00:00 PM,S PRAIRIE AVE,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",Calumet District
03/13/2019 06:00:00 PM,W 61ST ST,THEFT,APARTMENT,Englewood District
03/13/2019 05:47:00 PM,N BROADWAY,THEFT,DEPARTMENT STORE,Town Hall District
03/13/2019 05:38:00 PM,S PULASKI RD,PUBLIC PEACE VIOLATION,SIDEWALK,Harrison District
03/13/2019 05:25:00 PM,N MILWAUKEE AVE,CRIMINAL TRESPASS,OTHER,Shakespeare District
03/13/2019 05:10:00 PM,W WEBSTER AVE,THEFT,STREET,Near North District
03/13/2019 05:01:00 PM,S KIMBARK AVE,THEFT,APARTMENT,Wentworth District
03/13/2019 05:00:00 PM,S INDIANA AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Central District
03/13/2019 05:00:00 PM,W 115TH ST,BATTERY,RESIDENCE,Calumet District
03/13/2019 04:59:00 PM,S LAWNDALE AVE,ASSAULT,APARTMENT,Ogden District
03/13/2019 04:36:00 PM,W ADAMS ST,NARCOTICS,SIDEWALK,Harrison District
03/13/2019 04:30:00 PM,N ROCKWELL ST,THEFT,STREET,Rogers Park District
03/13/2019 04:20:00 PM,S HOYNE AVE,STALKING,RESIDENCE,Morgan Park District
03/13/2019 04:09:00 PM,W WRIGHTWOOD AVE,WEAPONS VIOLATION,ALLEY,Shakespeare District
03/13/2019 04:00:00 PM,S HALSTED ST,PUBLIC PEACE VIOLATION,RESIDENCE,Morgan Park District
03/13/2019 04:00:00 PM,W ARMITAGE AVE,OTHER OFFENSE,OTHER,Grand Central District
03/13/2019 03:50:00 PM,N CENTRAL AVE,WEAPONS VIOLATION,RESIDENCE,Austin District
03/13/2019 03:30:00 PM,E RANDOLPH ST,THEFT,OTHER,Central District
03/13/2019 03:30:00 PM,N MASON AVE,ASSAULT,RESIDENCE,Grand Central District
03/13/2019 03:20:00 PM,N DAMEN AVE,OTHER OFFENSE,PARKING LOT/GARAGE(NON.RESID.),Lincoln District
03/13/2019 03:13:00 PM,S CICERO AVE,THEFT,HOTEL/MOTEL,Chicago Lawn District
03/13/2019 03:10:00 PM,S SAWYER AVE,NARCOTICS,STREET,Ogden District
03/13/2019 03:00:00 PM,S HERMITAGE AVE,MOTOR VEHICLE THEFT,STREET,Gresham District
03/13/2019 03:00:00 PM,W WINNEMAC AVE,BURGLARY,APARTMENT,Lincoln District
03/13/2019 02:56:00 PM,W MAYPOLE AVE,ASSAULT,SIDEWALK,Harrison District
03/13/2019 02:43:00 PM,E WASHINGTON ST,DECEPTIVE PRACTICE,BANK,Central District
03/13/2019 02:30:00 PM,S CICERO AVE,DECEPTIVE PRACTICE,RESIDENCE,Harrison District
03/13/2019 02:20:00 PM,E CERMAK RD,BATTERY,SIDEWALK,Central District
03/13/2019 02:04:00 PM,N WASHTENAW AVE,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),Shakespeare District
03/13/2019 02:00:00 PM,S PEORIA ST,DECEPTIVE PRACTICE,RESIDENCE,Calumet District
03/13/2019 01:38:00 PM,W DEVON AVE,OFFENSE INVOLVING CHILDREN,GAS STATION,Jefferson Park District
03/13/2019 01:30:00 PM,N BELL AVE,ASSAULT,APARTMENT,Rogers Park District
03/13/2019 01:30:00 PM,N SHERIDAN RD,DECEPTIVE PRACTICE,SMALL RETAIL STORE,Lincoln District
03/13/2019 01:20:00 PM,S GREENWOOD AVE,BURGLARY,APARTMENT,Wentworth District
03/13/2019 01:02:00 PM,W JACKSON BLVD,OTHER OFFENSE,RESIDENCE,Austin District
03/13/2019 01:00:00 PM,S EGGLESTON AVE,BATTERY,RESIDENCE,Calumet District
03/13/2019 01:00:00 PM,S RIDGEWAY AVE,OTHER OFFENSE,RESIDENCE,Chicago Lawn District
03/13/2019 12:30:00 PM,S VERNON AVE,THEFT,APARTMENT,Grand Crossing District
03/13/2019 12:20:00 PM,W WILCOX ST,BATTERY,"SCHOOL, PUBLIC, BUILDING",Harrison District
03/13/2019 12:15:00 PM,N LA SALLE ST,BATTERY,GOVERNMENT BUILDING/PROPERTY,Central District
03/13/2019 12:10:00 PM,S HAMILTON AVE,BATTERY,JAIL / LOCK-UP FACILITY,Near West District
03/13/2019 12:00:00 PM,W JACKSON BLVD,BATTERY,APARTMENT,Harrison District
03/13/2019 12:00:00 PM,W 62ND ST,OTHER OFFENSE,RESIDENCE,Englewood District
03/13/2019 12:00:00 PM,W 70TH ST,BATTERY,RESIDENCE,Englewood District
03/13/2019 11:50:00 AM,N MILWAUKEE AVE,PROSTITUTION,OTHER,Near West District
03/13/2019 11:37:00 AM,S STATE ST,OTHER OFFENSE,STREET,Calumet District
03/13/2019 11:26:00 AM,E 37TH ST,BATTERY,"SCHOOL, PRIVATE, GROUNDS",Wentworth District
03/13/2019 11:03:00 AM,S KEDZIE AVE,NARCOTICS,ALLEY,Ogden District
03/13/2019 11:00:00 AM,W HARRISON ST,ASSAULT,"SCHOOL, PUBLIC, BUILDING",Austin District
03/13/2019 10:45:00 AM,W ST PAUL AVE,ASSAULT,STREET,Grand Central District
03/13/2019 10:30:00 AM,W CERMAK RD,THEFT,TAVERN/LIQUOR STORE,Ogden District
03/13/2019 10:20:00 AM,S WESTERN AVE,ASSAULT,AUTO / BOAT / RV DEALERSHIP,Chicago Lawn District
03/13/2019 10:00:00 AM,N CLAREMONT AVE,OFFENSE INVOLVING CHILDREN,RESIDENCE,Town Hall District
03/13/2019 10:00:00 AM,N CLEVELAND AVE,THEFT,STREET,Near North District
03/13/2019 09:45:00 AM,W OHARE ST,BATTERY,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,Jefferson Park District
03/13/2019 09:30:00 AM,W MONROE ST,OTHER OFFENSE,OTHER,Central District
03/13/2019 09:00:00 AM,S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,STREET,Calumet District
03/13/2019 09:00:00 AM,N PAULINA ST,CRIMINAL TRESPASS,SIDEWALK,Rogers Park District
03/13/2019 08:45:00 AM,S ARTESIAN AVE,ROBBERY,STREET,Chicago Lawn District
03/13/2019 08:12:00 AM,E 79TH ST,NARCOTICS,GAS STATION,Gresham District
03/13/2019 08:00:00 AM,W DIVERSEY PKWY,THEFT,HOTEL/MOTEL,Town Hall District
03/13/2019 08:00:00 AM,S WOODLAWN AVE,CRIMINAL DAMAGE,APARTMENT,Grand Crossing District
03/13/2019 07:45:00 AM,S CARPENTER ST,BATTERY,RESIDENCE,Englewood District
03/13/2019 07:00:00 AM,S LAKE PARK AVE,DECEPTIVE PRACTICE,OTHER,Wentworth District
03/13/2019 06:54:00 AM,S JEFFERY BLVD,OTHER OFFENSE,RESIDENCE,South Chicago District
03/13/2019 06:30:00 AM,E 71ST ST,BATTERY,CTA BUS,Grand Crossing District
03/13/2019 06:00:00 AM,N PULASKI RD,ROBBERY,CTA BUS STOP,Grand Central District
03/13/2019 05:15:00 AM,E 79TH ST,BURGLARY,CLEANING STORE,South Chicago District
03/13/2019 03:49:00 AM,N WELLS ST,CRIMINAL DAMAGE,GAS STATION,Near North District
03/13/2019 03:12:00 AM,S HOXIE AVE,ASSAULT,APARTMENT,South Chicago District
03/13/2019 02:40:00 AM,E ROOSEVELT RD,INTERFERENCE WITH PUBLIC OFFICER,CTA STATION,Central District
03/13/2019 02:07:00 AM,S MUSKEGON AVE,INTERFERENCE WITH PUBLIC OFFICER,APARTMENT,South Chicago District
03/13/2019 02:00:00 AM,W HIRSCH ST,BATTERY,RESIDENCE,Grand Central District
03/13/2019 01:30:00 AM,S DREXEL BLVD,ASSAULT,RESIDENTIAL YARD (FRONT/BACK),Wentworth District
03/13/2019 01:19:00 AM,S EMERALD AVE,BATTERY,RESIDENCE,Morgan Park District
03/13/2019 01:00:00 AM,N LONG AVE,CRIMINAL DAMAGE,APARTMENT,Jefferson Park District
03/13/2019 12:35:00 AM,S TROY ST,ROBBERY,STREET,Harrison District
03/13/2019 12:26:00 AM,W 23RD PL,BATTERY,RESIDENCE,Ogden District
03/13/2019 12:05:00 AM,S RHODES AVE,BATTERY,APARTMENT,Grand Crossing District
03/13/2019 12:00:00 AM,W JACKSON BLVD,BURGLARY,APARTMENT,Harrison District
03-12-2019 23:59,S AVENUE J,OTHER OFFENSE,RESIDENCE,South Chicago District
03-12-2019 23:30,W WILSON AVE,ASSAULT,APARTMENT,Albany Park District
03-12-2019 23:03,W ADAMS ST,NARCOTICS,STREET,Harrison District
03-12-2019 23:00,S TROY ST,ASSAULT,ALLEY,Deering District
03-12-2019 22:40,S STATE ST,THEFT,CTA PLATFORM,Central District
03-12-2019 22:30,S KEDZIE AVE,ASSAULT,OTHER,Chicago Lawn District
03-12-2019 22:08,W LAWRENCE AVE,THEFT,STREET,Lincoln District
03-12-2019 22:00,N TRUMBULL AVE,ROBBERY,RESIDENCE,Harrison District
03-12-2019 21:49,N HALSTED ST,DECEPTIVE PRACTICE,OTHER,Town Hall District
03-12-2019 21:31,S TRUMBULL AVE,CRIMINAL DAMAGE,STREET,Ogden District
03-12-2019 21:00,N TROY ST,THEFT,VEHICLE NON-COMMERCIAL,Rogers Park District
03-12-2019 20:55,W 13TH ST,MOTOR VEHICLE THEFT,STREET,Ogden District
03-12-2019 20:40,S LONGWOOD DR,CRIMINAL DAMAGE,APARTMENT,Morgan Park District
03-12-2019 20:19,N ORLEANS ST,DECEPTIVE PRACTICE,SMALL RETAIL STORE,Near North District
03-12-2019 20:05,S CALIFORNIA AVE,NARCOTICS,STREET,Deering District
03-12-2019 20:00,N RICHMOND ST,THEFT,APARTMENT,Albany Park District
03-12-2019 20:00,N PULASKI RD,KIDNAPPING,CTA BUS STOP,Grand Central District
03-12-2019 19:55,S TROY ST,BATTERY,STREET,Harrison District
03-12-2019 19:30,W FULTON ST,THEFT,VEHICLE NON-COMMERCIAL,Near West District
03-12-2019 19:20,S KINGSTON AVE,DECEPTIVE PRACTICE,,South Chicago District
03-12-2019 19:00,S MASON AVE,MOTOR VEHICLE THEFT,STREET,Austin District
03-12-2019 18:44,N LECLAIRE AVE,BATTERY,STREET,Grand Central District
03-12-2019 18:30,S SOUTH SHORE DR,THEFT,RESIDENCE,South Chicago District
03-12-2019 18:10,W SCHOOL ST,BATTERY,STREET,Jefferson Park District
03-12-2019 18:00,W 53RD ST,THEFT,STREET,Deering District
03-12-2019 18:00,N CLAREMONT AVE,THEFT,STREET,Rogers Park District
03-12-2019 17:45,S TRUMBULL AVE,PUBLIC PEACE VIOLATION,STREET,Ogden District
03-12-2019 17:36,N MILWAUKEE AVE,BATTERY,RESTAURANT,Shakespeare District
03-12-2019 17:20,N LOCKWOOD AVE,OTHER OFFENSE,STREET,Grand Central District
03-12-2019 17:04,S DAUPHIN AVE,BATTERY,RESIDENCE,Gresham District
03-12-2019 17:00,N ELSTON AVE,OBSCENITY,RESIDENCE,Jefferson Park District
03-12-2019 17:00,S WELLS ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),Central District
03-12-2019 16:45,S CHRISTIANA AVE,ASSAULT,STREET,Ogden District
03-12-2019 16:30,N STATE ST,THEFT,DEPARTMENT STORE,Central District
03-12-2019 16:20,W MAYPOLE AVE,DECEPTIVE PRACTICE,APARTMENT,Near West District
03-12-2019 16:08,W HARRISON ST,ROBBERY,STREET,Austin District
03-12-2019 16:00,W HIGGINS AVE,BATTERY,RESTAURANT,Jefferson Park District
03-12-2019 16:00,S WABASH AVE,THEFT,RESTAURANT,Central District
03-12-2019 16:00,W DEVON AVE,THEFT,VEHICLE NON-COMMERCIAL,Rogers Park District
03-12-2019 15:50,S GILES AVE,BATTERY,STREET,Wentworth District
03-12-2019 15:45,S ARCHER AVE,BATTERY,GAS STATION,Deering District
03-12-2019 15:37,W GRENSHAW ST,BATTERY,SMALL RETAIL STORE,Harrison District
03-12-2019 15:20,S KILDARE AVE,BATTERY,APARTMENT,Ogden District
03-12-2019 15:00,W JACKSON BLVD,THEFT,APARTMENT,Near West District
03-12-2019 15:00,E 72ND ST,OFFENSE INVOLVING CHILDREN,RESIDENCE,Grand Crossing District
03-12-2019 15:00,W HIRSCH ST,OFFENSE INVOLVING CHILDREN,VEHICLE-COMMERCIAL,Shakespeare District
03-12-2019 14:47,S CAMPBELL AVE,OTHER OFFENSE,APARTMENT,Harrison District
03-12-2019 14:30,N LAVERGNE AVE,BATTERY,"SCHOOL, PUBLIC, GROUNDS",Austin District
03-12-2019 14:19,W OHARE ST,OTHER OFFENSE,AIRPORT EXTERIOR - NON-SECURE AREA,Jefferson Park District
03-12-2019 14:02,S ST LAWRENCE AVE,ROBBERY,STREET,Gresham District
03-12-2019 14:00,S JEFFERY BLVD,MOTOR VEHICLE THEFT,ALLEY,South Chicago District
03-12-2019 13:47,S DAMEN AVE,THEFT,CTA TRAIN,Near West District
03-12-2019 13:30,N STATE ST,THEFT,DEPARTMENT STORE,Central District
03-12-2019 13:21,N LAVERGNE AVE,NARCOTICS,STREET,Grand Central District
03-12-2019 13:10,N LA SALLE ST,DECEPTIVE PRACTICE,RESIDENCE,Central District
03-12-2019 13:07,W MADISON ST,THEFT,SMALL RETAIL STORE,Near West District
03-12-2019 13:00,S MARQUETTE AVE,BATTERY,RESIDENCE,South Chicago District
03-12-2019 12:41,W HOWARD ST,THEFT,GROCERY FOOD STORE,Rogers Park District
03-12-2019 12:30,W DIVISION ST,THEFT,STREET,Near West District
03-12-2019 12:23,W ROOT ST,NARCOTICS,ALLEY,Deering District
03-12-2019 12:10,S EXCHANGE AVE,ASSAULT,"SCHOOL, PUBLIC, BUILDING",South Chicago District
03-12-2019 12:00,S COMMERCIAL AVE,BATTERY,"SCHOOL, PUBLIC, GROUNDS",South Chicago District
03-12-2019 12:00,S CHAMPLAIN AVE,DECEPTIVE PRACTICE,APARTMENT,Grand Crossing District
03-12-2019 12:00,S LOOMIS BLVD,CRIMINAL DAMAGE,RESIDENCE,Deering District
03-12-2019 11:48,W ARTHINGTON ST,NARCOTICS,SIDEWALK,Harrison District
03-12-2019 11:30,W NORTH AVE,THEFT,STREET,Shakespeare District
03-12-2019 11:15,S RACINE AVE,BATTERY,"SCHOOL, PUBLIC, GROUNDS",Near West District
03-12-2019 11:00,W LOYOLA AVE,THEFT,"SCHOOL, PRIVATE, BUILDING",Rogers Park District
03-12-2019 11:00,N FRANKLIN ST,THEFT,HOTEL/MOTEL,Central District
03-12-2019 10:54,S ARCHER AVE,THEFT,OTHER,Deering District
03-12-2019 10:39,S EXCHANGE AVE,NARCOTICS,SIDEWALK,South Chicago District
03-12-2019 10:15,N MICHIGAN AVE,THEFT,RESTAURANT,Central District
03-12-2019 10:00,W GARFIELD BLVD,BATTERY,"SCHOOL, PUBLIC, GROUNDS",Deering District
03-12-2019 10:00,S BLACKSTONE AVE,THEFT,RESIDENCE,South Chicago District
03-12-2019 09:45,S ST LAWRENCE AVE,ASSAULT,"SCHOOL, PUBLIC, BUILDING",Gresham District
03-12-2019 09:30,W 21ST PL,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS",Ogden District
03-12-2019 09:00,S MICHIGAN AVE,DECEPTIVE PRACTICE,RESIDENCE,Grand Crossing District
03-12-2019 09:00,S PERRY AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),Gresham District
03-12-2019 09:00,S ESSEX AVE,DECEPTIVE PRACTICE,APARTMENT,South Chicago District
03-12-2019 08:45,W DEVON AVE,THEFT,STREET,Rogers Park District
03-12-2019 08:15,N CALIFORNIA AVE,BATTERY,RESIDENCE,Rogers Park District
03-12-2019 08:00,W POTOMAC AVE,BATTERY,RESIDENCE,Grand Central District
03-12-2019 08:00,N MC VICKER AVE,DECEPTIVE PRACTICE,RESIDENCE,Grand Central District
03-12-2019 07:30,S STEWART AVE,BATTERY,APARTMENT,Gresham District
03-12-2019 07:00,S PRINCETON AVE,BURGLARY,APARTMENT,Deering District
03-12-2019 06:30,S COTTAGE GROVE AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),Wentworth District
02/19/2019 03:30:00 PM,W JACKSON BLVD,MOTOR VEHICLE THEFT,STREET,Central District
02/19/2019 03:15:00 PM,W ALBION AVE,OTHER OFFENSE,SIDEWALK,Rogers Park District
02/19/2019 03:00:00 PM,W HARRISON ST,THEFT,OTHER,Central District
02/19/2019 02:55:00 PM,W SCHILLER ST,ASSAULT,"SCHOOL, PUBLIC, BUILDING",Shakespeare District
02/19/2019 02:40:00 PM,W CHICAGO AVE,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,Near North District
02/19/2019 02:30:00 PM,S SAWYER AVE,ROBBERY,ALLEY,Ogden District
02/19/2019 02:20:00 PM,E 106TH ST,NARCOTICS,SIDEWALK,South Chicago District
02/19/2019 02:00:00 PM,N PARKSIDE AVE,DECEPTIVE PRACTICE,RESIDENCE,Grand Central District
02/19/2019 02:00:00 PM,S DAMEN AVE,NARCOTICS,DRUG STORE,Near West District
02/19/2019 01:43:00 PM,W 26TH ST,NARCOTICS,VEHICLE NON-COMMERCIAL,Ogden District
02/19/2019 01:30:00 PM,W MONROE ST,THEFT,SMALL RETAIL STORE,Central District
02/19/2019 01:21:00 PM,W COLUMBUS AVE,OTHER OFFENSE,APARTMENT,Chicago Lawn District
02/19/2019 01:06:00 PM,E 47TH ST,OTHER OFFENSE,RESTAURANT,Wentworth District
02/19/2019 01:00:00 PM,S KILDARE AVE,BATTERY,APARTMENT,Ogden District
02/19/2019 01:00:00 PM,S EMERALD AVE,BURGLARY,RESIDENCE,Englewood District
02/19/2019 01:00:00 PM,S CHRISTIANA AVE,THEFT,CLEANING STORE,Chicago Lawn District
02/19/2019 12:47:00 PM,E OHIO ST,THEFT,APARTMENT,Near North District
02/19/2019 12:30:00 PM,S HALSTED ST,ROBBERY,SIDEWALK,Gresham District
02/19/2019 12:08:00 PM,S DRAKE AVE,NARCOTICS,SIDEWALK,Ogden District
02/19/2019 12:00:00 PM,W HUBBARD ST,THEFT,STREET,Near West District
02/19/2019 12:00:00 PM,W HOLLYWOOD AVE,THEFT,RESIDENCE,Lincoln District
02/19/2019 11:57:00 AM,W MONTROSE AVE,ASSAULT,NURSING HOME/RETIREMENT HOME,Town Hall District
02/19/2019 11:43:00 AM,S WENTWORTH AVE,DECEPTIVE PRACTICE,APARTMENT,Calumet District
02/19/2019 11:30:00 AM,N LARAMIE AVE,OTHER OFFENSE,STREET,Grand Central District
02/19/2019 11:20:00 AM,S SPAULDING AVE,NARCOTICS,STREET,Ogden District
02/19/2019 11:00:00 AM,W 115TH ST,CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,Calumet District
02/19/2019 11:00:00 AM,W 31ST ST,THEFT,SMALL RETAIL STORE,Deering District
02/19/2019 10:55:00 AM,W 13TH ST,NARCOTICS,SIDEWALK,Ogden District
02/19/2019 10:43:00 AM,S EAST END AVE,NARCOTICS,SIDEWALK,South Chicago District
02/19/2019 10:27:00 AM,W 62ND ST,MOTOR VEHICLE THEFT,STREET,Chicago Lawn District
02/19/2019 10:06:00 AM,S HALSTED ST,CRIMINAL TRESPASS,GAS STATION,Morgan Park District
02/19/2019 10:00:00 AM,S GREENWOOD AVE,OTHER OFFENSE,"SCHOOL, PRIVATE, BUILDING",Calumet District
02/19/2019 10:00:00 AM,S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,STREET,Grand Crossing District
02/19/2019 09:51:00 AM,S ASHLAND AVE,THEFT,GOVERNMENT BUILDING/PROPERTY,Near West District
02/19/2019 09:37:00 AM,N ALBANY AVE,OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,Albany Park District
02/19/2019 09:22:00 AM,S PRAIRIE AVE,MOTOR VEHICLE THEFT,STREET,Calumet District
02/19/2019 09:05:00 AM,S WOODLAWN AVE,BATTERY,APARTMENT,Grand Crossing District
02/19/2019 09:00:00 AM,N ELSTON AVE,DECEPTIVE PRACTICE,BANK,Shakespeare District
