Primary,Census,Count
ASSAULT,397.0,4.0
ASSAULT,398.0,26.0
ASSAULT,399.0,5.0
ASSAULT,400.0,14.0
ASSAULT,401.0,30.0
ASSAULT,402.0,39.0
ASSAULT,403.0,42.0
ASSAULT,404.0,34.0
ASSAULT,405.0,2.0
ASSAULT,406.0,42.0
ASSAULT,407.0,13.0
ASSAULT,408.0,28.0
ASSAULT,409.0,23.0
ASSAULT,410.0,55.0
ASSAULT,411.0,13.0
ASSAULT,412.0,1.0
ASSAULT,413.0,2.0
ASSAULT,414.0,5.0
ASSAULT,415.0,5.0
ASSAULT,416.0,31.0
ASSAULT,417.0,13.0
ASSAULT,418.0,9.0
ASSAULT,419.0,21.0
ASSAULT,420.0,22.0
ASSAULT,421.0,49.0
ASSAULT,422.0,9.0
ASSAULT,423.0,7.0
ASSAULT,424.0,2.0
ASSAULT,425.0,8.0
ASSAULT,426.0,13.0
ASSAULT,427.0,8.0
ASSAULT,428.0,19.0
ASSAULT,429.0,19.0
ASSAULT,430.0,34.0
ASSAULT,431.0,34.0
ASSAULT,432.0,18.0
ASSAULT,433.0,47.0
ASSAULT,434.0,27.0
ASSAULT,435.0,67.0
ASSAULT,436.0,55.0
ASSAULT,437.0,3.0
ASSAULT,438.0,1.0
ASSAULT,439.0,22.0
ASSAULT,440.0,6.0
ASSAULT,441.0,2.0
ASSAULT,442.0,3.0
ASSAULT,443.0,9.0
ASSAULT,444.0,6.0
ASSAULT,445.0,9.0
ASSAULT,446.0,15.0
ASSAULT,447.0,21.0
ASSAULT,448.0,23.0
ASSAULT,449.0,29.0
ASSAULT,450.0,11.0
ASSAULT,451.0,40.0
ASSAULT,452.0,46.0
ASSAULT,453.0,18.0
ASSAULT,454.0,50.0
ASSAULT,455.0,33.0
ASSAULT,456.0,82.0
ASSAULT,457.0,4.0
ASSAULT,458.0,8.0
ASSAULT,459.0,8.0
ASSAULT,460.0,6.0
ASSAULT,461.0,21.0
ASSAULT,462.0,5.0
ASSAULT,463.0,9.0
ASSAULT,464.0,13.0
ASSAULT,465.0,8.0
ASSAULT,466.0,5.0
ASSAULT,467.0,4.0
ASSAULT,468.0,2.0
ASSAULT,469.0,9.0
ASSAULT,470.0,11.0
ASSAULT,471.0,14.0
ASSAULT,472.0,39.0
ASSAULT,473.0,11.0
ASSAULT,474.0,33.0
ASSAULT,475.0,40.0
ASSAULT,476.0,2.0
ASSAULT,477.0,2.0
ASSAULT,478.0,35.0
ASSAULT,479.0,45.0
ASSAULT,480.0,14.0
ASSAULT,481.0,26.0
ASSAULT,482.0,11.0
ASSAULT,483.0,20.0
ASSAULT,484.0,9.0
ASSAULT,485.0,5.0
ASSAULT,486.0,23.0
ASSAULT,487.0,67.0
ASSAULT,488.0,6.0
ASSAULT,489.0,25.0
ASSAULT,490.0,12.0
ASSAULT,491.0,12.0
ASSAULT,492.0,35.0
ASSAULT,493.0,29.0
ASSAULT,494.0,87.0
ASSAULT,495.0,63.0
ASSAULT,496.0,49.0
ASSAULT,497.0,47.0
ASSAULT,498.0,28.0
ASSAULT,499.0,10.0
ASSAULT,500.0,11.0
ASSAULT,501.0,10.0
ASSAULT,502.0,17.0
ASSAULT,504.0,33.0
ASSAULT,505.0,39.0
ASSAULT,506.0,26.0
ASSAULT,507.0,47.0
ASSAULT,508.0,16.0
ASSAULT,509.0,27.0
ASSAULT,510.0,14.0
ASSAULT,511.0,40.0
ASSAULT,512.0,66.0
ASSAULT,513.0,22.0
ASSAULT,514.0,74.0
ASSAULT,515.0,50.0
ASSAULT,516.0,1.0
ASSAULT,517.0,1.0
ASSAULT,518.0,8.0
ASSAULT,519.0,10.0
ASSAULT,520.0,5.0
ASSAULT,521.0,12.0
ASSAULT,522.0,7.0
ASSAULT,523.0,22.0
ASSAULT,524.0,82.0
ASSAULT,525.0,46.0
ASSAULT,526.0,7.0
ASSAULT,527.0,19.0
ASSAULT,528.0,26.0
ASSAULT,529.0,38.0
ASSAULT,530.0,61.0
ASSAULT,531.0,30.0
ASSAULT,532.0,37.0
ASSAULT,533.0,25.0
ASSAULT,534.0,8.0
ASSAULT,535.0,4.0
ASSAULT,536.0,10.0
ASSAULT,537.0,3.0
ASSAULT,538.0,6.0
ASSAULT,539.0,10.0
ASSAULT,540.0,14.0
ASSAULT,541.0,6.0
ASSAULT,542.0,11.0
ASSAULT,543.0,28.0
ASSAULT,544.0,11.0
ASSAULT,545.0,7.0
ASSAULT,546.0,10.0
ASSAULT,547.0,5.0
ASSAULT,548.0,2.0
ASSAULT,549.0,12.0
ASSAULT,550.0,11.0
ASSAULT,551.0,1.0
ASSAULT,552.0,8.0
ASSAULT,553.0,2.0
ASSAULT,554.0,20.0
ASSAULT,555.0,11.0
ASSAULT,556.0,24.0
ASSAULT,557.0,42.0
ASSAULT,558.0,27.0
ASSAULT,559.0,2.0
ASSAULT,560.0,2.0
ASSAULT,561.0,21.0
ASSAULT,562.0,45.0
ASSAULT,563.0,8.0
ASSAULT,564.0,4.0
ASSAULT,565.0,32.0
ASSAULT,566.0,9.0
ASSAULT,567.0,14.0
ASSAULT,568.0,19.0
ASSAULT,569.0,22.0
ASSAULT,570.0,43.0
